category,term,source,topic,weight,used_in_line_table
sensing,trying,bertopic_topic_word,4.0,0.04553695161491683,False
sensing,sort,bertopic_topic_word,5.0,0.037923635271245676,False
sensing,wanted,bertopic_topic_word,5.0,0.09626388541366179,False
sensing,market,bertopic_topic_word,6.0,0.09056879871348157,False
sensing,portfolio,bertopic_topic_word,6.0,0.09970755006459833,False
sensing,shaping,bertopic_topic_word,6.0,0.03881131197160976,False
sensing,just,bertopic_topic_word,7.0,0.04078254803409339,False
sensing,magnitude,bertopic_topic_word,8.0,0.14727590814462746,False
sensing,scale,bertopic_topic_word,8.0,0.13856550278579532,False
sensing,volume,bertopic_topic_word,8.0,0.04773979272956014,False
sensing,volumes,bertopic_topic_word,8.0,0.04515553259425405,False
sensing,kind,bertopic_topic_word,9.0,0.05625859783642809,False
sensing,covid,bertopic_topic_word,10.0,0.04937573578259802,False
sensing,medicare,bertopic_topic_word,10.0,0.0354328682637995,False
sensing,recovery,bertopic_topic_word,10.0,0.18917213999242563,False
sensing,shaped,bertopic_topic_word,10.0,0.06294010897170979,False
sensing,study,bertopic_topic_word,10.0,0.0354328682637995,False
sensing,vaccines,bertopic_topic_word,10.0,0.04937573578259802,False
sensing,december,bertopic_topic_word,11.0,0.05031622598798085,False
sensing,capabilities,bertopic_topic_word,12.0,0.04739146130283183,False
sensing,chief,bertopic_topic_word,12.0,0.05743899812668238,False
sensing,expanding,bertopic_topic_word,12.0,0.04739146130283183,False
sensing,external,bertopic_topic_word,12.0,0.04739146130283183,False
sensing,lidar,bertopic_topic_word,12.0,0.06604004660922486,False
sensing,sensing,bertopic_topic_word,12.0,0.3446929644478592,False
sensing,systems,bertopic_topic_word,12.0,0.04739146130283183,False
sensing,technology,bertopic_topic_word,12.0,0.04739146130283183,False
sensing,place,bertopic_topic_word,13.0,0.054420816807079615,False
sensing,better,bertopic_topic_word,14.0,0.07879258074209078,False
sensing,gives,bertopic_topic_word,14.0,0.054696154924627226,False
sensing,comes,bertopic_topic_word,15.0,0.058932387112329745,False
sensing,form,bertopic_topic_word,15.0,0.04948970452397539,False
sensing,franchise,bertopic_topic_word,16.0,0.07064565660049466,False
sensing,consolidation,bertopic_topic_word,17.0,0.07482862310973447,False
sensing,expand,bertopic_topic_word,17.0,0.07482862310973447,False
sensing,sense,seed_keyword,,,True
sensing,sensed,seed_keyword,,,True
sensing,senses,seed_keyword,,,True
sensing,sensing,seed_keyword,,,True
sensing,shape,seed_keyword,,,True
sensing,shaped,seed_keyword,,,True
sensing,shaping,seed_keyword,,,True
transforming,transform,bertopic_topic_word,0.0,0.11516786300399465,False
transforming,transformed,bertopic_topic_word,0.0,0.05026115816540699,False
transforming,transforming,bertopic_topic_word,0.0,0.08575750789916967,False
transforming,global,bertopic_topic_word,1.0,0.11775944785250145,False
transforming,redesign,bertopic_topic_word,1.0,0.19619248193362143,False
transforming,redesigned,bertopic_topic_word,1.0,0.09734981628310475,False
transforming,capital,bertopic_topic_word,2.0,0.15643236245380443,False
transforming,million,bertopic_topic_word,2.0,0.07560338591383849,False
transforming,redeploy,bertopic_topic_word,2.0,0.19558403313500633,False
transforming,redeployed,bertopic_topic_word,2.0,0.10428824163586961,False
transforming,redeployment,bertopic_topic_word,2.0,0.17640790046562313,False
transforming,reconfigure,seed_keyword,,,True
transforming,reconfigured,seed_keyword,,,True
transforming,reconfiguring,seed_keyword,,,True
transforming,redeploy,seed_keyword,,,True
transforming,redeployed,seed_keyword,,,True
transforming,redeployment,seed_keyword,,,True
transforming,redesign,seed_keyword,,,True
transforming,redesigned,seed_keyword,,,True
transforming,redesigning,seed_keyword,,,True
transforming,revamp,seed_keyword,,,True
transforming,revamped,seed_keyword,,,True
transforming,revamping,seed_keyword,,,True
transforming,transform,seed_keyword,,,True
transforming,transformed,seed_keyword,,,True
transforming,transforming,seed_keyword,,,True
